,Name,storage,price,Status
0,oppo a94 5g,128GB,598.68,Contract
1,iphone 15,128GB,1198.44,Contract
2,iphone 15,512GB,1748.52,Contract
3,iphone 15,256GB,1398.6,Contract
4,pixel 6 pro,128GB,648.72,Contract
5,iphone 15 pro,128GB,1548.72,Contract
6,iphone 15 pro,1TB,2448.72,Contract
7,iphone 15 pro,512GB,2098.44,Contract
8,iphone 15 pro,256GB,1748.52,Contract
9,xr20,128GB,748.8,Contract
10,galaxy a34 5g,128GB,598.68,Contract
11,iphone 13,128GB,1098.72,Contract
12,galaxy s23 fe,128GB,999.0,Contract
13,galaxy s23 fe,256GB,1098.72,Contract
14,iphone 15 pro,128GB,1548.72,Contract
15,iphone 15 pro,1TB,1548.72,Contract
16,iphone 15 pro,512GB,2098.44,Contract
17,iphone 15 pro,256GB,1748.52,Contract
18,iphone 15 pro max,256GB,1898.64,Contract
19,iphone 15 pro max,1TB,2598.48,Contract
20,iphone 15 pro max,512GB,2248.56,Contract
21,galaxy s24 plus,256GB,1698.84,Contract
22,galaxy s24 plus,512GB,1899.0,Contract
23,galaxy s24,256GB,1398.96,Contract
24,galaxy s24,512GB,1598.76,Contract
25,iphone 11,64GB,678.96,Contract
26,iphone 15 plus,128GB,1348.56,Contract
27,iphone 15 plus,512GB,1898.64,Contract
28,iphone 15 plus,256GB,1548.72,Contract
29,galaxy a54 5g,128GB,698.76,Contract
30,galaxy z flip5,256GB,1298.52,Contract
31,galaxy z flip5,512GB,1498.68,Contract
32,g62 5g,128GB,248.76,Contract
33,pixel 8 pro,128GB,1298.52,Contract
34,g11plus,64GB,279.0,Contract
35,pixel 8,128GB,898.56,Contract
36,galaxy s23 ultra,512GB,2248.92,Contract
37,x30 5g,128GB,798.84,Contract
38,iphone 14,128GB,1098.72,Contract
39,iphone 15,128GB,1198.44,Contract
40,iphone 15,512GB,1748.52,Contract
41,iphone 15,256GB,1398.6,Contract
42,iphone 15 pro max,256GB,1898.64,Contract
43,iphone 15 pro max,1TB,2598.48,Contract
44,iphone 15 pro max,512GB,2248.56,Contract
45,pixel 7a,128GB,748.8,Contract
46,galaxy s24 ultra,256GB,2198.88,Contract
47,galaxy s24 ultra,1TB,2799.0,Contract
48,galaxy s24 ultra,512GB,2398.68,Contract
49,galaxy z flip4,128GB,948.96,Contract
50,galaxy z flip4,256GB,948.96,Contract
51,pixel 7,256GB,1128.96,Contract
52,galaxy z fold5,256GB,2098.8,Contract
53,galaxy z fold5,1TB,2648.88,Contract
54,galaxy z fold5,512GB,2298.96,Contract
55,galaxy z fold4,512GB,1598.76,Contract
56,galaxy xcover6 pro,128GB,898.92,Contract
57,galaxy s24 ultra,256GB,2198.88,Contract
58,galaxy s24 ultra,1TB,2799.0,Contract
59,galaxy s24 ultra,512GB,2398.68,Contract
60,find x5 pro,256GB,1398.96,Contract
61,iphone se 3,64GB,718.92,Contract
62,iphone se 3,128GB,798.84,Contract
63,galaxy a15 5g,128GB,348.84,Contract
64,moto razr ultra 40,256GB,1498.68,Contract
65,moto razr 40,256GB,999.0,Contract
66,galaxy s23,128GB,1348.92,Contract
67,iphone 12,64GB,999.0,Contract
68,motorola-e13,**,99,Prepaid
69,oppo-a38,**,199,Prepaid
70,galaxy-a15-5g,**,329,Prepaid
71,galaxy-a15,**,279,Prepaid
72,telstra-t-inspire,**,99,Prepaid
73,telstra-t-pro,**,129,Prepaid
74,telstra-t-essential,**,79,Prepaid
75,nokiac30,**,149,Prepaid
76,nokia-c22,**,179,Prepaid
77,nokiag11plus,**,229,Prepaid
78,motorola-g53-5g,**,229,Prepaid
79,essential-2,**,99,Prepaid
80,flip4,**,149,Prepaid
81,telstra-essential-pro-3,**,129,Prepaid
82,lite-3,**,59,Prepaid
83,smart-4,**,119,Prepaid
84,essential-smart-2-1,**,79,Prepaid
